low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_ppw,high_ppw,low_wavelength_status,high_wavelength_status,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
220,245,2,2,490;491,626;627,-0.0,-0.0,0.0,0.9999806105018256,0.9999806105018195,0.9999999182051325,0,0,128.0,160.0,RESOLVED,RESOLVED,-2.14076967456e-13;2.14076967456e-13,-7.56092129736e-14;7.56092129736e-14,1.3846775448219591e-13,23.499550533530126,29.335615430220027,real_dominant,real_dominant,RESOLVED,RESOLVED,True,0.9999883458523785,True,True
229,244,2,2,504;505,624;625,-0.0,-0.0,0.0,0.9999806105018252,0.9999806105018189,0.9999999182051323,2,0,128.0,160.0,RESOLVED,RESOLVED,-2.21765196963e-13;2.21765196963e-13,-6.28930184318e-14;6.28930184318e-14,1.5887217853147067e-13,26.222498771166542,29.779967124707785,real_dominant,real_dominant,RESOLVED,RESOLVED,True,0.9999883458523782,True,True
218,240,2,2,486;488,609;611,-0.017788418100264027,-0.017799815338464694,0.0006403009235740847,0.9999999643183801,0.9999999643183799,0.9999999333032873,2,2,128.0,160.0,RESOLVED,RESOLVED,0.955005654798;0.955005654798,0.955112689964;0.955112689964,0.00010703516606558328,1.483652483803051,1.0547767137333541,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9999039167783138,True,True
219,241,2,2,487;489,610;612,0.017788418100264027,0.017799815338464694,0.0006403009235740847,0.9999999643183801,0.9999999643183799,0.9999999333032873,2,2,128.0,160.0,RESOLVED,RESOLVED,-0.955005654798;-0.955005654798,-0.955112689964;-0.955112689964,0.00010703516606558328,1.483652483803051,1.0547767137333541,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9999039167783138,True,True
225,222,2,2,498;510,540;542,-0.033807962753631356,-0.033844167577012564,0.0010697507420982652,0.9999999239393771,0.9999999239393771,0.9999999334966598,3,3,85.33333333333333,106.66666666666667,RESOLVED,RESOLVED,0.985647630561;0.985647630561,0.985708253445;0.985708253445,6.062288356500911e-05,10.348399360406054,5.14532108811249,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9998394751264764,True,True
226,223,2,2,499;511,541;543,0.033807962753631356,0.033844167577012564,0.0010697507420982652,0.9999999239393771,0.9999999239393771,0.9999999334966598,3,3,85.33333333333333,106.66666666666667,RESOLVED,RESOLVED,-0.985647630561;-0.985647630561,-0.985708253445;-0.985708253445,6.062288356500911e-05,10.348399360406054,5.14532108811249,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9998394751264764,True,True
212,220,2,2,474;476,532;534,-0.05010240040859451,-0.050192323267406115,0.0017915659797720055,0.9999998350288318,0.9999998350288317,0.9999999216083225,4,4,64.0,80.0,RESOLVED,RESOLVED,0.992937445467;0.992937445467,0.992984288515;0.992984288515,4.684304802704542e-05,9.944487125361249,9.375183116976151,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9997311465224139,True,True
213,221,2,2,475;477,533;535,0.05010240040859451,0.050192323267406115,0.0017915659797720055,0.9999998350288318,0.9999998350288317,0.9999999216083225,4,4,64.0,80.0,RESOLVED,RESOLVED,-0.992937445467;-0.992937445467,-0.992984288515;-0.992984288515,4.684304802704542e-05,9.944487125361249,9.375183116976151,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9997311465224139,True,True
208,226,2,2,466;468,548;550,-0.06572253389498627,-0.06590780302607387,0.002811034848397311,0.9999996692382205,0.9999996692382204,0.9999999009549819,5,5,51.2,64.0,RESOLVED,RESOLVED,0.995660255262;0.995660255262,0.995701927142;0.995701927142,4.167188047021764e-05,3.364821238635632,1.7588915437360015,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9995781215544182,True,True
209,227,2,2,467;469,549;551,0.06572253389498627,0.06590780302607387,0.002811034848397311,0.9999996692382205,0.9999996692382204,0.9999999009549819,5,5,51.2,64.0,RESOLVED,RESOLVED,-0.995660255262;-0.995660255262,-0.995701927142;-0.995701927142,4.167188047021764e-05,3.364821238635632,1.7588915437360015,oscillatory,oscillatory,RESOLVED,RESOLVED,True,0.9995781215544182,True,True
