path,size,mtime,tracked,ignored
.cursor/SST-Workbench.code-workspace,68,2026-09-03T10:13:21Z,yes,no
.cursor/plans/archive_missing_downloads_zips_bc84e3b1.plan.md,9783,2026-09-03T10:13:21Z,yes,no
.cursor/plans/batch_catalog_vortexlab_followup.plan.md,1879,2026-08-21T08:12:24Z,yes,no
.cursor/plans/batch_parallel_knots_followup.plan.md,1647,2026-08-21T08:12:24Z,yes,no
.cursor/plans/catalog_innnnn_kpc_41c7201d.plan.md,6404,2026-09-03T10:13:21Z,yes,no
.cursor/plans/centralize_zip_archives_f21ef0c6.plan.md,5587,2026-08-21T08:12:24Z,yes,no
.cursor/plans/falsifier_inventory_table_7c1e1d64.plan.md,512,2026-09-03T10:13:21Z,yes,no
.cursor/plans/filamentpath_trefoil_r_ladder.plan.md,3570,2026-09-03T10:13:21Z,yes,no
.cursor/plans/final_effort_alias.plan.md,1490,2026-08-21T08:12:24Z,yes,no
.cursor/plans/fix_ideal_sources_ed147bf4.plan.md,3949,2026-09-03T10:13:21Z,yes,no
.cursor/plans/fix_matrix_run_all_a5f29dd7.plan.md,5583,2026-09-03T10:13:21Z,yes,no
.cursor/plans/fremlin_fseries_archive_112094ce.plan.md,5572,2026-09-03T10:13:21Z,yes,no
.cursor/plans/fseries_batch_ladder_94660855.plan.md,9637,2026-08-21T08:12:24Z,yes,no
.cursor/plans/fseries_full_campaign_followup.plan.md,1592,2026-08-21T08:12:24Z,yes,no
.cursor/plans/fseries_outdir_nest_5ab9d777.plan.md,3180,2026-08-21T08:12:24Z,yes,no
.cursor/plans/gilbert_ladder_150_followup.plan.md,1489,2026-08-21T08:12:24Z,yes,no
.cursor/plans/gitignore_and_patch_cleanup_49d6e192.plan.md,6708,2026-09-03T10:13:21Z,yes,no
.cursor/plans/knot_library_provenance_87742b24.plan.md,10611,2026-09-03T10:13:21Z,yes,no
.cursor/plans/knotplot_export_batch_followup.plan.md,2135,2026-08-21T08:12:24Z,yes,no
.cursor/plans/knotplot_hotfix_overlay_ab20d6bd.plan.md,9754,2026-09-03T10:13:21Z,yes,no
.cursor/plans/matrix_out_logs_layout_4c770fa5.plan.md,4338,2026-09-03T10:13:21Z,yes,no
.cursor/plans/oneapi_local_path_dll_69bb5564.plan.md,6700,2026-08-21T08:12:24Z,yes,no
.cursor/plans/outputs_zips_under_50mb.plan.md,382,2026-09-03T10:13:21Z,yes,no
.cursor/plans/restructure/CATALOG_v0.1.md,23974,2026-09-04T08:40:05Z,yes,no
