candidate,family,category,value,shape_classification,parameterization_role,shape_family_max_normalized_rms,raw_family_max_normalized_rms,priority_tier,selection_reason,is_baseline_geometry,raw_sha256,source_file,raw_handoff_file,arclength300_handoff_file,length,rg,exact_duplicate_of
mechforce__off,mechforce,core_force,off,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.09527374003395406,0.10894949498323458,1,core-force strong shape effect,False,8ebf16b71b8aede9f66e3f2497797833eda0a15f65df0ab4b4ae4ef9b269d3c9,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\mechforce__off_i01000.txt,stability_handoff\raw_xyz\mechforce__off.txt,stability_handoff\arclength300_xyz\mechforce__off.txt,859.5961790103312,25.058419835776924,
mechforce__on,mechforce,core_force,on,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.09527374003395406,0.10894949498323458,1,core-force strong shape effect,True,8916df1819f3b7a18253a8295c27e6d531cf3e67a2378fa836a12986ccecb167,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\mechforce__on_i01000.txt,stability_handoff\raw_xyz\mechforce__on.txt,stability_handoff\arclength300_xyz\mechforce__on.txt,329.979214700305,24.94772235323431,
elecforce__off,elecforce,core_force,off,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.11361508613066834,0.11001192602070684,1,core-force strong shape effect,False,381c191f16928298b9aa9c15ca07383c9b541a826223d236d9fc292a25a11d7d,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\elecforce__off_i01000.txt,stability_handoff\raw_xyz\elecforce__off.txt,stability_handoff\arclength300_xyz\elecforce__off.txt,290.499109634655,22.64544923310197,
elecforce__on,elecforce,core_force,on,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.11361508613066834,0.11001192602070684,1,core-force strong shape effect,True,8916df1819f3b7a18253a8295c27e6d531cf3e67a2378fa836a12986ccecb167,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\elecforce__on_i01000.txt,stability_handoff\raw_xyz\mechforce__on.txt,stability_handoff\arclength300_xyz\mechforce__on.txt,329.979214700305,24.94772235323431,
charge__15,charge,core_force,15.0,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.14139352885643888,0.1414024478322577,1,core-force strong shape effect,True,8916df1819f3b7a18253a8295c27e6d531cf3e67a2378fa836a12986ccecb167,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\charge__15_i01000.txt,stability_handoff\raw_xyz\mechforce__on.txt,stability_handoff\arclength300_xyz\mechforce__on.txt,329.979214700305,24.94772235323431,
charge__30,charge,core_force,30.0,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.14139352885643888,0.1414024478322577,1,core-force strong shape effect,False,05432632cea4ec4dd0afe4a42e2275798d4fa5527f47dc131967fc6fce3add72,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\charge__30_i01000.txt,stability_handoff\raw_xyz\charge__30.txt,stability_handoff\arclength300_xyz\charge__30.txt,355.01552501488624,25.716863046468394,
charge__3p75,charge,core_force,3.75,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.14139352885643888,0.1414024478322577,1,core-force strong shape effect,False,81ed7a259a8746b68093cbb292382b19b5da3209a72313767bdd4092f47ce476,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\charge__3p75_i01000.txt,stability_handoff\raw_xyz\charge__3p75.txt,stability_handoff\arclength300_xyz\charge__3p75.txt,303.1246167389812,23.38976435989346,
charge__60,charge,core_force,60.0,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.14139352885643888,0.1414024478322577,1,core-force strong shape effect,False,5f508539a440b836ea9a531e2818a00cfd2aae32f168b21c7357ba8f766b0b6a,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\charge__60_i01000.txt,stability_handoff\raw_xyz\charge__60.txt,stability_handoff\arclength300_xyz\charge__60.txt,389.53720572045904,26.315303321208297,
charge__7p5,charge,core_force,7.5,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.14139352885643888,0.1414024478322577,1,core-force strong shape effect,False,a7e01ff9babb305ca690138acff667bfc2de8adf7e8e5f4fd8eca0e5f8dc5009,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\charge__7p5_i01000.txt,stability_handoff\raw_xyz\charge__7p5.txt,stability_handoff\arclength300_xyz\charge__7p5.txt,313.394153257452,23.996486180154477,
hooke__0p25,hooke,core_force,0.25,EFFECTIVE_STRONG,GEOMETRY_DOMINANT,0.13562707352731887,0.13583524854281373,1,core-force strong shape effect,False,e3b21c08c6f0cb50774843c5b310b59dbd060074639aa75563bc155c9dd01cd6,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.0\out\extended\hooke__0p25_i01000.txt,stability_handoff\raw_xyz\hooke__0p25.txt,stability_handoff\arclength300_xyz\hooke__0p25.txt,390.8323462192345,25.103912740723477,
